Product,Price
PlayStation 5 Console,499$
PS5 Console – God of War Ragnarök Bundle,559$
PlayStation DualSense Wireless Controller - Starlight Blue - PlayStation 5,49$
PlayStation 5 Digital Edition,399$
PS5 Digital Edition – God of War Ragnarök Bundle,459$
PS5 Digital Edition- Horizon Forbidden West Bundle,449$
NBA 2K23 - PlayStation 5,29$
NHL 23 - PlayStation 5,27$
"PS5 Controller Charger Station, PS5 Charging Station with Fast Charging AC Adapter 5V/3A, Dual Controller Charging Stand for Playstation 5, Docking Station Replacement for DualSense Charging Station",27$
PS5 Console- Horizon Forbidden West Bundle,34$
Razer Quick Charging Stand for PlayStation 5: Quick Charge - Curved Cradle Design - Matches PS5 DualSense Wireless Controller - One-Handed Navigation - USB Powered - White (Controller Sold Separately),27$
Playstation Icons Light XL,27$
Call of Duty: Modern Warfare II - PlayStation 5,24$
"Razer Kaira HyperSpeed Wireless Gaming Headset for Playstation 5 / PS5, PS4, PC, Mobile: 50mm Drivers - HyperClear Cardioid Mic - Memory Foam Cushions - Bluetooth - 30 Hr Battery - White & Black",549$
Demon's Souls - PlayStation 5,29$
Marvel's Spider-Man: Miles Morales Ultimate Edition - PlayStation 5,34$
PS5 Faceplate with RGB Light Strip and Dust Filter for Cooling Vents DOBEWINGDELOU 400+ Effects LED Light Ring Console Cover for PlayStation 5 Disc Edition DIY Decoration Kit Accessories Black,69$
FIFA 23 - PlayStation 5,69$
CKXIN Vertical Stand for PS5 Playstation 5 Console with Built-in Cooling Vents and Non-Slip Feet - Disc Edition (White),129$
"omarando Carrying Case for PS5,Travel Storage Bag for PS5,Bag for PS5 Console Games and Accessories,Included Gamepad Controller Protective Box (Black-White)",29$
"NexiGo RGB LED Light Strip for Playstation 5 Console, with Music Sync and 8 Colors 400+ Effects, IR Remote/USB Control, DIY Decoration Flexible Tape Light Strips for PS5 Disc & Digital Editions",59$
